,0
261.5,0.0091
261.0,0.008
260.5,0.0058
260.0,0.0044
259.5,0.0048
259.0,0.0052
258.5,0.0061
258.0,0.0078
257.5,0.0084
257.0,0.0066
256.5,0.0053
256.0,0.0045
255.5,0.0036
255.0,0.0028
254.5,0.0024
254.0,0.0018
253.5,0.0007
253.0,0.0003
252.5,0.0003
252.0,0.0005
251.5,0.0005
251.0,0.0002
