,R,Delta,Order,Theta
182,30.0,10.0,0.9653517273636653,-0.07896612155699502
183,30.0,10.0,0.9547503357124547,0.48630546265417557
184,30.0,10.0,0.9692101116441119,0.24666259747452646
185,30.0,10.0,0.9506940683253898,-0.13446324080080718
186,30.0,10.0,0.9789795268636725,0.21025508177418442
187,30.0,10.0,0.9689461745122612,0.0010788148117084277
188,30.0,10.0,0.963714757431916,0.42666197160717956
189,30.0,10.0,0.9753561588256047,-0.021320217815617572
190,30.0,10.0,0.9622536229257728,0.2676789538078722
191,30.0,10.0,0.9738838053948362,0.38032588445716786
192,30.0,10.0,0.9587421071828497,-0.22891800571819013
193,30.0,10.0,0.9691668179210556,0.022451693117049264
194,30.0,10.0,0.9504087976644143,-0.34833615015242414
195,30.0,10.0,0.9713064686317504,0.009067206323630178
196,30.0,10.0,0.977206582537758,0.0728732689437111
197,30.0,10.0,0.9605237926061817,0.25541053858032126
198,30.0,10.0,0.9723623560624646,0.018878549697425244
199,30.0,10.0,0.977675883689414,0.27876115697791226
200,60.0,0.0,0.4756778452254636,0.06447947546613964
201,60.0,0.0,0.4242251814113616,0.02393950489982715
202,60.0,0.0,0.38818056723325023,-0.039941077457326925
203,60.0,0.0,0.4317556008268127,0.03840922521556882
204,60.0,0.0,0.4434695090545861,-0.01034030447556558
205,60.0,0.0,0.4414924139631682,0.016345334394687515
206,60.0,0.0,0.43520228941206573,0.05647769715993986
207,60.0,0.0,0.42628847108653317,-0.08269351723249992
208,60.0,0.0,0.3835653107479108,-0.001526244413073871
209,60.0,0.0,0.3820911378608168,-0.013294284497966363
210,60.0,0.0,0.49070648273417056,-0.028526249672355262
211,60.0,0.0,0.4065141579663338,-0.13570193009148496
212,60.0,0.0,0.446560848256928,0.031145975897372283
213,60.0,0.0,0.48860839064264366,0.009858231372304644
214,60.0,0.0,0.3873147683982853,-0.004435633781484234
215,60.0,0.0,0.44387114626249663,0.09761372756213782
216,60.0,0.0,0.4695669261223674,0.0007196232713681024
217,60.0,0.0,0.4861147066819864,-0.03193508420087847
218,60.0,0.0,0.4170468357235956,0.06478321352733789
219,60.0,0.0,0.3989663337328888,-0.010822835738817054
220,60.0,0.0,0.39321885443889026,0.007073306558197199
221,60.0,0.0,0.4479069072325596,0.00824381252217337
222,60.0,0.0,0.46426409364105103,-0.03496696339698395
223,60.0,0.0,0.38025699518669503,-0.007586781722151235
224,60.0,0.0,0.36904248994460354,-0.007299236132471632
225,60.0,0.0,0.42121932604860807,-0.025337034244612533
226,60.0,0.0,0.3927817126861391,-0.024735993653070377
227,60.0,0.0,0.41944410372288204,0.041884445682108036
228,60.0,0.0,0.41370484871576313,0.028171785919518716
229,60.0,0.0,0.39640753284021873,-0.023750930863243744
230,60.0,0.0,0.39339191642204074,0.057745001243222245
231,60.0,0.0,0.4474697995299703,-0.04397934453789576
232,60.0,0.0,0.38839290910450863,-0.015573845658049465
233,60.0,0.0,0.42821971673404735,0.024314515223883018
234,60.0,0.0,0.42242914803028475,-0.00980420006266777
235,60.0,0.0,0.4495272578013311,0.05982466521093575
236,60.0,0.0,0.4856220006991626,-0.02510519113633703
237,60.0,0.0,0.4368389628009073,-0.05418465014545707
238,60.0,0.0,0.41578049442285764,-0.010369685850506669
239,60.0,0.0,0.4179652556947264,-0.024439782360240955
240,60.0,0.0,0.45892029497273856,0.05669873864350385
241,60.0,0.0,0.4264459881190493,-0.05835707319937717
242,60.0,0.0,0.350266781161646,-0.05955399827532315
243,60.0,0.0,0.4423875034107548,-0.06569940175811181
244,60.0,0.0,0.4148901938083098,0.0024859083611960767
245,60.0,0.0,0.44159566236832287,0.04131923247425155
246,60.0,0.0,0.4291615566852816,0.04506024927120219
247,60.0,0.0,0.4604262628128127,-0.059766264985252324
248,60.0,0.0,0.41769165111816325,-0.009069305943703542
249,60.0,0.0,0.4059024380770085,0.0178131944179384
250,60.0,1.0,0.4682239906679521,0.09126124544261399
251,60.0,1.0,0.37662808447071905,0.009897214535437737
252,60.0,1.0,0.4137916090685063,-0.023082800934507913
253,60.0,1.0,0.4508131511093387,0.043859973483238085
254,60.0,1.0,0.40316436831971875,0.04037047097421668
255,60.0,1.0,0.4006242434062562,-0.1289800481387958
256,60.0,1.0,0.4325923182102816,0.0504096016921563
257,60.0,1.0,0.45919556657891714,0.0393330699424998
258,60.0,1.0,0.46793054698684544,0.04163389616268692
259,60.0,1.0,0.4420619875867054,-0.10931185653041407
260,60.0,1.0,0.40638799083310606,0.0351410076529262
261,60.0,1.0,0.3235217957913195,-0.017177833713825166
262,60.0,1.0,0.4072801522454287,-0.14147905561777796
263,60.0,1.0,0.4417171350851019,-0.016704258273775422
264,60.0,1.0,0.42352079433722123,-0.056034944472508785
265,60.0,1.0,0.39094158505138576,0.054568814560583156
266,60.0,1.0,0.4554521991917927,-0.08107626293084712
267,60.0,1.0,0.5043485801491882,0.009746114047850904
268,60.0,1.0,0.38299189595524175,0.008222367643308491
269,60.0,1.0,0.4118150972185504,0.06285122114241089
270,60.0,1.0,0.39224069039152554,-0.008810484618743376
271,60.0,1.0,0.44855645506252956,-0.0013372176628914999
272,60.0,1.0,0.42422892328046,-0.028605739082815447
273,60.0,1.0,0.44831413304031187,-0.08076694306602922
274,60.0,1.0,0.41476976882258915,-0.004879030435976058
275,60.0,1.0,0.4025086025974918,-0.019519309180620715
276,60.0,1.0,0.4395208842739464,0.03765216592616109
277,60.0,1.0,0.4056301263095892,0.061281445196439646
278,60.0,1.0,0.4717045747325488,-0.005115651522151872
279,60.0,1.0,0.42670513647055386,-0.019111026314393136
280,60.0,1.0,0.40309341868858134,-0.050531085348100635
281,60.0,1.0,0.3619276915530897,0.06922535201682228
282,60.0,1.0,0.4233364140105177,-0.05925576623826571
283,60.0,1.0,0.4892660268569274,-0.028827051644403433
284,60.0,1.0,0.4785969057841851,0.02261702011538184
285,60.0,1.0,0.42609396709779573,-0.08011488324939553
286,60.0,1.0,0.3770619173267706,0.03864982095626172
287,60.0,1.0,0.4230797280940445,0.005557415195128812
288,60.0,1.0,0.4182341913854022,0.032409534986114874
289,60.0,1.0,0.4582516254250505,0.003894224635849135
290,60.0,1.0,0.4272895006399759,0.0017094218105831852
291,60.0,1.0,0.46781342820848054,0.019585479479663485
292,60.0,1.0,0.3806113092013657,-0.041518291176431084
293,60.0,1.0,0.4386388779757113,-0.08367220549477966
294,60.0,1.0,0.3655970903136745,-0.025421173305301064
295,60.0,1.0,0.4757819451477652,0.005516809607455198
296,60.0,1.0,0.4244976811195135,0.059708202338960514
297,60.0,1.0,0.42984272126696277,0.02992819082080144
298,60.0,1.0,0.41026308741211387,0.05693993598250525
299,60.0,1.0,0.4326136628598274,0.021644846259336416
300,60.0,5.0,0.39220740347939503,-0.07642434219763568
301,60.0,5.0,0.31951802295704584,0.15765144254284116
302,60.0,5.0,0.4887576344785205,0.0562296620318834
303,60.0,5.0,0.3463262654794444,0.0105411842665318
304,60.0,5.0,0.27555153701078633,0.04068439102953895
305,60.0,5.0,0.43227916021299045,0.17075098733256683
306,60.0,5.0,0.4231658206467931,0.016364713016743332
307,60.0,5.0,0.440354005412593,-0.037086589268845456
308,60.0,5.0,0.38249187771218857,0.08254618397918419
309,60.0,5.0,0.4631564456594879,0.06684300273034735
310,60.0,5.0,0.34496179606727045,0.006034697620622471
311,60.0,5.0,0.514341979573222,-0.08407701616906206
312,60.0,5.0,0.532172981951561,-0.01028351642841306
313,60.0,5.0,0.39077687667868444,0.12885417530379525
314,60.0,5.0,0.4877520893628805,0.010937349530767965
315,60.0,5.0,0.4185978768911889,-0.06503064181939738
316,60.0,5.0,0.41195868456247,0.04513847563492736
317,60.0,5.0,0.3384725316529417,0.06977867850735057
318,60.0,5.0,0.3826926997490173,-0.042784812039310643
319,60.0,5.0,0.4811431005776734,-0.1454067410051442
